index,category,quality,format,compression,photo_type,lighting,artifact,platform_degradation,ethnicity,skin_tone,age,gender_presentation,background,edge_case,scene_subject,prompt
917,face,low,jpeg,92,DSLR photo,golden hour sunlight,inconsistent shadows,as if downloaded from Instagram,West African,brown skin,middle-aged,man,rooftop with skyline,face partially occluded,,"A DSLR photo of a middle-aged West African man with brown skin in rooftop with skyline, with golden hour sunlight, inconsistent shadows, face partially occluded, as if downloaded from Instagram"
918,nature,low,webp,38,screen recording or screenshot,nighttime artificial lighting,lens distortion,as if screenshotted from TikTok,,,,,,,a receipt or invoice on a countertop,"A screen recording or screenshot of a receipt or invoice on a countertop, with nighttime artificial lighting, lens distortion, as if screenshotted from TikTok"
919,face,high,png,100,large format film photo,backlit with rim lighting,heavy JPEG compression artifacts,as if screenshotted from TikTok,Northern European,olive skin,young,person,elevator,face at sharp angle,,"A large format film photo of a young Northern European person with olive skin in elevator, with backlit with rim lighting, heavy JPEG compression artifacts, face at sharp angle, as if screenshotted from TikTok"
920,scene,high,jpeg,36,video still frame,flat overcast daylight,slight motion blur,as if shared on WhatsApp with compression,,,,,,,a barbershop with customers waiting,"A video still frame of a barbershop with customers waiting, with flat overcast daylight, slight motion blur, as if shared on WhatsApp with compression"
921,face,medium,webp,86,panoramic photo,very low ambient light,,as if forwarded on Telegram multiple times,Southern European,light skin,young,man,government building,face partially in shadow,,"A panoramic photo of a young Southern European man with light skin in government building, with very low ambient light, face partially in shadow, as if forwarded on Telegram multiple times"
922,nature,high,webp,70,large format film photo,flat overcast daylight,digital zoom pixelation,,,,,,,,a street sign at an intersection,"A large format film photo of a street sign at an intersection, with flat overcast daylight, digital zoom pixelation"
923,face,low,webp,85,dashcam footage,direct flash,overexposed highlights,as if screenshotted from TikTok,Middle Eastern,,middle-aged,man,inside a vehicle,wearing sunglasses,,"A dashcam footage of a middle-aged Middle Eastern man in inside a vehicle, with direct flash, overexposed highlights, wearing sunglasses, as if screenshotted from TikTok"
924,face,high,png,100,photojournalist shot,nighttime artificial lighting,slight motion blur,,Central Asian,medium skin,elderly,person,conference stage,face through glass,,"A photojournalist shot of a elderly Central Asian person with medium skin in conference stage, with nighttime artificial lighting, slight motion blur, face through glass"
925,face,high,webp,48,documentary-style photo,dappled shade under trees,digital zoom pixelation,,Latino,very dark skin,middle-aged,man,outdoor park,face through glass,,"A documentary-style photo of a middle-aged Latino man with very dark skin in outdoor park, with dappled shade under trees, digital zoom pixelation, face through glass"
926,face,medium,jpeg,100,medium format film photo,direct flash,,as if downloaded from Instagram,Southern European,olive skin,middle-aged,woman,bedroom,wearing sunglasses,,"A medium format film photo of a middle-aged Southern European woman with olive skin in bedroom, with direct flash, wearing sunglasses, as if downloaded from Instagram"
927,scene,low,jpeg,63,candid photo taken from a distance,very low ambient light,slight motion blur,as if screenshotted from TikTok,,,,,,,a busy city intersection,"A candid photo taken from a distance of a busy city intersection, with very low ambient light, slight motion blur, as if screenshotted from TikTok"
928,face,medium,webp,33,LinkedIn headshot,tungsten indoor lighting with warm cast,heavy JPEG compression artifacts,,Indigenous,very light skin,young,person,inside a vehicle,face at sharp angle,,"A LinkedIn headshot of a young Indigenous person with very light skin in inside a vehicle, with tungsten indoor lighting with warm cast, heavy JPEG compression artifacts, face at sharp angle"
929,scene,medium,jpeg,42,GoPro wide-angle action shot,dramatic side lighting,inconsistent shadows,,,,,,,,a train station platform during rush hour,"A GoPro wide-angle action shot of a train station platform during rush hour, with dramatic side lighting, inconsistent shadows"
930,face,high,jpeg,32,GoPro wide-angle action shot,dramatic side lighting,overexposed highlights,,Southern European,,middle-aged,man,office environment,,,"A GoPro wide-angle action shot of a middle-aged Southern European man in office environment, with dramatic side lighting, overexposed highlights"
931,face,high,webp,83,point-and-shoot digital camera photo,harsh overhead fluorescent lighting,,,Indigenous,,young,man,conference stage,,,"A point-and-shoot digital camera photo of a young Indigenous man in conference stage, with harsh overhead fluorescent lighting"
932,face,low,webp,37,photo with heavy beauty filter,flat overcast daylight,slight motion blur,,Eastern European,,elderly,woman,grocery store aisle,face at sharp angle,,"A photo with heavy beauty filter of a elderly Eastern European woman in grocery store aisle, with flat overcast daylight, slight motion blur, face at sharp angle"
933,face,medium,png,100,street photography shot,golden hour sunlight,slight motion blur,as if saved from a YouTube video at 480p,Southeast Asian,light skin,elderly,woman,cafe or restaurant,face reflected in mirror,,"A street photography shot of a elderly Southeast Asian woman with light skin in cafe or restaurant, with golden hour sunlight, slight motion blur, face reflected in mirror, as if saved from a YouTube video at 480p"
934,face,high,png,100,night vision camera image,soft natural daylight,heavy noise or grain,,West African,very light skin,middle-aged,man,grocery store aisle,face reflected in mirror,,"A night vision camera image of a middle-aged West African man with very light skin in grocery store aisle, with soft natural daylight, heavy noise or grain, face reflected in mirror"
935,scene,high,png,100,drone aerial photo,flat overcast daylight,lens distortion,,,,,,,,a protest march with crowds,"A drone aerial photo of a protest march with crowds, with flat overcast daylight, lens distortion"
936,scene,medium,jpeg,93,security camera CCTV footage,direct flash,color banding,as if shared on WhatsApp with compression,,,,,,,a classroom full of students,"A security camera CCTV footage of a classroom full of students, with direct flash, color banding, as if shared on WhatsApp with compression"
937,scene,high,jpeg,98,disposable camera photo,direct flash,inconsistent shadows,as if saved from a YouTube video at 480p,,,,,,,a street market with vendors and shoppers,"A disposable camera photo of a street market with vendors and shoppers, with direct flash, inconsistent shadows, as if saved from a YouTube video at 480p"
938,face,low,webp,55,photo taken of a TV screen,nighttime artificial lighting,,as if saved from a YouTube video at 480p,Afro-Caribbean,,young,person,gym or fitness center,face partially in shadow,,"A photo taken of a TV screen of a young Afro-Caribbean person in gym or fitness center, with nighttime artificial lighting, face partially in shadow, as if saved from a YouTube video at 480p"
939,face,medium,webp,59,Polaroid instant photo,nighttime artificial lighting,heavy JPEG compression artifacts,,Eastern European,very light skin,elderly,man,inside a vehicle,face very small in frame,,"A Polaroid instant photo of a elderly Eastern European man with very light skin in inside a vehicle, with nighttime artificial lighting, heavy JPEG compression artifacts, face very small in frame"
940,scene,high,png,100,helmet-mounted camera capture,dappled shade under trees,color banding,as if downloaded from Instagram,,,,,,,a graduation ceremony audience,"A helmet-mounted camera capture of a graduation ceremony audience, with dappled shade under trees, color banding, as if downloaded from Instagram"
941,nature,high,jpeg,56,smartphone photo,direct flash,overexposed highlights,as if downloaded from Instagram,,,,,,,an ocean coastline with waves crashing on rocks,"A smartphone photo of an ocean coastline with waves crashing on rocks, with direct flash, overexposed highlights, as if downloaded from Instagram"
942,scene,high,png,100,helmet-mounted camera capture,dramatic side lighting,heavy JPEG compression artifacts,as if shared on Twitter with reduced resolution,,,,,,,a busy airport terminal with travelers,"A helmet-mounted camera capture of a busy airport terminal with travelers, with dramatic side lighting, heavy JPEG compression artifacts, as if shared on Twitter with reduced resolution"
943,nature,medium,webp,85,Polaroid instant photo,screen-lit in a dark room,digital zoom pixelation,as if shared on Twitter with reduced resolution,,,,,,,rolling green hills under a cloudy sky,"A Polaroid instant photo of rolling green hills under a cloudy sky, with screen-lit in a dark room, digital zoom pixelation, as if shared on Twitter with reduced resolution"
944,nature,high,jpeg,52,tablet camera photo,tungsten indoor lighting with warm cast,color banding,as if saved from a YouTube video at 480p,,,,,,,a river winding through a valley,"A tablet camera photo of a river winding through a valley, with tungsten indoor lighting with warm cast, color banding, as if saved from a YouTube video at 480p"
945,face,high,jpeg,71,security camera CCTV footage,tungsten indoor lighting with warm cast,digital zoom pixelation,,Middle Eastern,light skin,middle-aged,man,hospital corridor,face partially in shadow,,"A security camera CCTV footage of a middle-aged Middle Eastern man with light skin in hospital corridor, with tungsten indoor lighting with warm cast, digital zoom pixelation, face partially in shadow"
946,scene,low,jpeg,30,food photography close-up,neon lighting,,as if screenshotted from TikTok,,,,,,,a music festival crowd at night,"A food photography close-up of a music festival crowd at night, with neon lighting, as if screenshotted from TikTok"
947,face,high,jpeg,34,documentary-style photo,candlelight,heavy JPEG compression artifacts,as if shared on Twitter with reduced resolution,Middle Eastern,medium skin,young,woman,parking garage,,,"A documentary-style photo of a young Middle Eastern woman with medium skin in parking garage, with candlelight, heavy JPEG compression artifacts, as if shared on Twitter with reduced resolution"
948,nature,medium,webp,38,Polaroid instant photo,screen-lit in a dark room,overexposed highlights,as if shared on Twitter with reduced resolution,,,,,,,a row of parked cars on a residential street,"A Polaroid instant photo of a row of parked cars on a residential street, with screen-lit in a dark room, overexposed highlights, as if shared on Twitter with reduced resolution"
949,nature,medium,webp,86,underwater camera photo,soft natural daylight,,,,,,,,,a northern lights aurora over a snowy field,"A underwater camera photo of a northern lights aurora over a snowy field, with soft natural daylight"
950,face,low,webp,97,Polaroid instant photo,mixed indoor-outdoor lighting,,,Southeast Asian,,elderly,woman,bathroom mirror,,,"A Polaroid instant photo of a elderly Southeast Asian woman in bathroom mirror, with mixed indoor-outdoor lighting"
951,nature,medium,png,100,medium format film photo,candlelight,slight motion blur,as if saved from a YouTube video at 480p,,,,,,,a frozen lake surrounded by snow-covered trees,"A medium format film photo of a frozen lake surrounded by snow-covered trees, with candlelight, slight motion blur, as if saved from a YouTube video at 480p"
952,scene,medium,webp,48,Polaroid instant photo,soft natural daylight,heavy JPEG compression artifacts,,,,,,,,a family gathering around a table,"A Polaroid instant photo of a family gathering around a table, with soft natural daylight, heavy JPEG compression artifacts"
953,face,medium,png,100,selfie taken with front-facing camera,dramatic side lighting,,as if downloaded from Instagram,Afro-Caribbean,,elderly,person,gym or fitness center,face at sharp angle,,"A selfie taken with front-facing camera of a elderly Afro-Caribbean person in gym or fitness center, with dramatic side lighting, face at sharp angle, as if downloaded from Instagram"
954,scene,low,png,100,point-and-shoot digital camera photo,golden hour sunlight,inconsistent shadows,as if screenshotted from TikTok,,,,,,,a family gathering around a table,"A point-and-shoot digital camera photo of a family gathering around a table, with golden hour sunlight, inconsistent shadows, as if screenshotted from TikTok"
955,face,medium,png,100,candid photo taken from a distance,golden hour sunlight,slight motion blur,as if saved from a YouTube video at 480p,Central Asian,medium skin,young,woman,grocery store aisle,wearing sunglasses,,"A candid photo taken from a distance of a young Central Asian woman with medium skin in grocery store aisle, with golden hour sunlight, slight motion blur, wearing sunglasses, as if saved from a YouTube video at 480p"
956,scene,low,webp,50,smartphone photo,dramatic side lighting,,as if shared on Twitter with reduced resolution,,,,,,,a busy airport terminal with travelers,"A smartphone photo of a busy airport terminal with travelers, with dramatic side lighting, as if shared on Twitter with reduced resolution"
957,nature,high,webp,61,HDR photo with tone-mapped highlights,flat overcast daylight,overexposed highlights,,,,,,,,rolling green hills under a cloudy sky,"A HDR photo with tone-mapped highlights of rolling green hills under a cloudy sky, with flat overcast daylight, overexposed highlights"
958,nature,medium,jpeg,31,street photography shot,dappled shade under trees,color banding,,,,,,,,a stack of old photographs,"A street photography shot of a stack of old photographs, with dappled shade under trees, color banding"
959,scene,high,png,100,doorbell camera capture,candlelight,heavy noise or grain,,,,,,,,a sports stadium crowd,"A doorbell camera capture of a sports stadium crowd, with candlelight, heavy noise or grain"
960,face,high,webp,31,Polaroid instant photo,very low ambient light,heavy noise or grain,as if screenshotted from TikTok,African American,light skin,elderly,man,bedroom,,,"A Polaroid instant photo of a elderly African American man with light skin in bedroom, with very low ambient light, heavy noise or grain, as if screenshotted from TikTok"
961,face,high,webp,86,body camera footage,tungsten indoor lighting with warm cast,chromatic aberration,as if shared on WhatsApp with compression,Indigenous,,middle-aged,person,inside a vehicle,,,"A body camera footage of a middle-aged Indigenous person in inside a vehicle, with tungsten indoor lighting with warm cast, chromatic aberration, as if shared on WhatsApp with compression"
962,face,low,png,100,medium format film photo,backlit with rim lighting,,as if shared on Twitter with reduced resolution,North African,medium skin,young,man,gym or fitness center,,,"A medium format film photo of a young North African man with medium skin in gym or fitness center, with backlit with rim lighting, as if shared on Twitter with reduced resolution"
963,face,medium,png,100,large format film photo,nighttime artificial lighting,heavy JPEG compression artifacts,,Central Asian,very dark skin,middle-aged,man,stairwell,,,"A large format film photo of a middle-aged Central Asian man with very dark skin in stairwell, with nighttime artificial lighting, heavy JPEG compression artifacts"
964,scene,high,webp,91,thermal imaging camera capture,nighttime artificial lighting,heavy noise or grain,,,,,,,,a barbershop with customers waiting,"A thermal imaging camera capture of a barbershop with customers waiting, with nighttime artificial lighting, heavy noise or grain"
965,nature,medium,png,100,underwater camera photo,dappled shade under trees,,as if shared on Twitter with reduced resolution,,,,,,,a car parked on a suburban street,"A underwater camera photo of a car parked on a suburban street, with dappled shade under trees, as if shared on Twitter with reduced resolution"
966,scene,low,webp,63,large format film photo,tungsten indoor lighting with warm cast,overexposed highlights,,,,,,,,a busy city intersection,"A large format film photo of a busy city intersection, with tungsten indoor lighting with warm cast, overexposed highlights"
967,face,medium,webp,100,mirrorless camera photo,mixed indoor-outdoor lighting,slight motion blur,,South Asian,very dark skin,middle-aged,man,stairwell,,,"A mirrorless camera photo of a middle-aged South Asian man with very dark skin in stairwell, with mixed indoor-outdoor lighting, slight motion blur"
968,face,low,png,100,Polaroid instant photo,screen-lit in a dark room,slight motion blur,,West African,,young,person,elevator,face at sharp angle,,"A Polaroid instant photo of a young West African person in elevator, with screen-lit in a dark room, slight motion blur, face at sharp angle"
969,face,medium,png,100,professional studio portrait,blue hour twilight,chromatic aberration,as if screenshotted from TikTok,Latino,dark brown skin,elderly,person,hospital corridor,face on a screen within the image,,"A professional studio portrait of a elderly Latino person with dark brown skin in hospital corridor, with blue hour twilight, chromatic aberration, face on a screen within the image, as if screenshotted from TikTok"
970,scene,high,jpeg,56,black and white film photo,backlit with rim lighting,inconsistent shadows,as if forwarded on Telegram multiple times,,,,,,,a train station platform during rush hour,"A black and white film photo of a train station platform during rush hour, with backlit with rim lighting, inconsistent shadows, as if forwarded on Telegram multiple times"
971,nature,low,jpeg,41,low quality compressed webcam image,harsh overhead fluorescent lighting,,as if forwarded on Telegram multiple times,,,,,,,a plate of food on a restaurant table,"A low quality compressed webcam image of a plate of food on a restaurant table, with harsh overhead fluorescent lighting, as if forwarded on Telegram multiple times"
972,scene,high,jpeg,53,real estate listing photo,dappled shade under trees,,,,,,,,,a sports stadium crowd,"A real estate listing photo of a sports stadium crowd, with dappled shade under trees"
973,nature,low,png,100,street photography shot,screen-lit in a dark room,inconsistent shadows,as if downloaded from Instagram,,,,,,,a subway station tunnel with graffiti,"A street photography shot of a subway station tunnel with graffiti, with screen-lit in a dark room, inconsistent shadows, as if downloaded from Instagram"
974,face,low,webp,88,Polaroid instant photo,dramatic side lighting,,,Eastern European,,middle-aged,man,bedroom,face mid-expression with motion blur,,"A Polaroid instant photo of a middle-aged Eastern European man in bedroom, with dramatic side lighting, face mid-expression with motion blur"
975,scene,low,webp,32,satellite imagery,candlelight,heavy noise or grain,as if screenshotted from TikTok,,,,,,,a wedding reception,"A satellite imagery of a wedding reception, with candlelight, heavy noise or grain, as if screenshotted from TikTok"
976,nature,medium,jpeg,94,photo of a screen showing another image,tungsten indoor lighting with warm cast,heavy JPEG compression artifacts,,,,,,,,a protest sign with hand-painted text,"A photo of a screen showing another image of a protest sign with hand-painted text, with tungsten indoor lighting with warm cast, heavy JPEG compression artifacts"
977,face,medium,webp,78,selfie taken with front-facing camera,blue hour twilight,,,Pacific Islander,olive skin,elderly,person,parking garage,face very small in frame,,"A selfie taken with front-facing camera of a elderly Pacific Islander person with olive skin in parking garage, with blue hour twilight, face very small in frame"
978,nature,medium,png,100,scanned printed photograph,dramatic side lighting,heavy JPEG compression artifacts,,,,,,,,a receipt or invoice on a countertop,"A scanned printed photograph of a receipt or invoice on a countertop, with dramatic side lighting, heavy JPEG compression artifacts"
979,face,low,jpeg,88,street photography shot,dappled shade under trees,heavy noise or grain,as if shared on Twitter with reduced resolution,North African,dark brown skin,young,man,parking garage,extreme close-up,,"A street photography shot of a young North African man with dark brown skin in parking garage, with dappled shade under trees, heavy noise or grain, extreme close-up, as if shared on Twitter with reduced resolution"
980,nature,high,png,100,ATM security camera image,very low ambient light,color banding,,,,,,,,a menu board outside a restaurant,"A ATM security camera image of a menu board outside a restaurant, with very low ambient light, color banding"
981,face,high,webp,36,photojournalist shot,tungsten indoor lighting with warm cast,,as if forwarded on Telegram multiple times,Indigenous,olive skin,middle-aged,person,busy street,face mid-expression with motion blur,,"A photojournalist shot of a middle-aged Indigenous person with olive skin in busy street, with tungsten indoor lighting with warm cast, face mid-expression with motion blur, as if forwarded on Telegram multiple times"
982,nature,high,jpeg,99,smartphone photo,screen-lit in a dark room,chromatic aberration,,,,,,,,a plate of food on a restaurant table,"A smartphone photo of a plate of food on a restaurant table, with screen-lit in a dark room, chromatic aberration"
983,face,low,jpeg,47,smartphone photo,backlit with rim lighting,,,Central Asian,dark brown skin,middle-aged,person,home interior,wearing sunglasses,,"A smartphone photo of a middle-aged Central Asian person with dark brown skin in home interior, with backlit with rim lighting, wearing sunglasses"
984,face,low,jpeg,42,DSLR photo,candlelight,chromatic aberration,as if forwarded on Telegram multiple times,East African,,young,woman,office environment,extreme close-up,,"A DSLR photo of a young East African woman in office environment, with candlelight, chromatic aberration, extreme close-up, as if forwarded on Telegram multiple times"
985,nature,low,jpeg,90,documentary-style photo,soft natural daylight,,,,,,,,,a whiteboard with handwritten notes,"A documentary-style photo of a whiteboard with handwritten notes, with soft natural daylight"
986,face,medium,jpeg,54,selfie taken with front-facing camera,tungsten indoor lighting with warm cast,,,North African,brown skin,young,woman,bedroom,face very small in frame,,"A selfie taken with front-facing camera of a young North African woman with brown skin in bedroom, with tungsten indoor lighting with warm cast, face very small in frame"
987,face,high,webp,86,photojournalist shot,mixed indoor-outdoor lighting,color banding,,Afro-Caribbean,olive skin,elderly,person,stairwell,face very small in frame,,"A photojournalist shot of a elderly Afro-Caribbean person with olive skin in stairwell, with mixed indoor-outdoor lighting, color banding, face very small in frame"
988,nature,low,jpeg,94,infrared camera image,candlelight,chromatic aberration,,,,,,,,a handwritten note on a refrigerator,"A infrared camera image of a handwritten note on a refrigerator, with candlelight, chromatic aberration"
989,face,medium,jpeg,50,old flip phone camera photo,mixed indoor-outdoor lighting,chromatic aberration,as if downloaded from Instagram,North African,dark brown skin,elderly,person,office environment,extreme close-up,,"A old flip phone camera photo of a elderly North African person with dark brown skin in office environment, with mixed indoor-outdoor lighting, chromatic aberration, extreme close-up, as if downloaded from Instagram"
990,face,low,png,100,screen recording or screenshot,dappled shade under trees,heavy JPEG compression artifacts,as if forwarded on Telegram multiple times,South Asian,,middle-aged,woman,dimly lit room,face reflected in mirror,,"A screen recording or screenshot of a middle-aged South Asian woman in dimly lit room, with dappled shade under trees, heavy JPEG compression artifacts, face reflected in mirror, as if forwarded on Telegram multiple times"
991,scene,medium,jpeg,79,panoramic photo,direct flash,color banding,,,,,,,,commuters on a subway car,"A panoramic photo of commuters on a subway car, with direct flash, color banding"
992,scene,low,png,100,underwater camera photo,direct flash,,as if saved from a YouTube video at 480p,,,,,,,a protest march with crowds,"A underwater camera photo of a protest march with crowds, with direct flash, as if saved from a YouTube video at 480p"
993,face,medium,jpeg,90,Polaroid instant photo,blue hour twilight,digital zoom pixelation,,East African,,middle-aged,woman,gym or fitness center,,,"A Polaroid instant photo of a middle-aged East African woman in gym or fitness center, with blue hour twilight, digital zoom pixelation"
994,nature,low,png,100,early 2000s digital camera photo,tungsten indoor lighting with warm cast,,as if screenshotted from TikTok,,,,,,,a frozen lake surrounded by snow-covered trees,"A early 2000s digital camera photo of a frozen lake surrounded by snow-covered trees, with tungsten indoor lighting with warm cast, as if screenshotted from TikTok"
995,face,low,jpeg,36,employee badge photo,golden hour sunlight,inconsistent shadows,,West African,,middle-aged,person,outdoor park,face through glass,,"A employee badge photo of a middle-aged West African person in outdoor park, with golden hour sunlight, inconsistent shadows, face through glass"
996,nature,medium,png,100,thermal imaging camera capture,nighttime artificial lighting,overexposed highlights,,,,,,,,a smartphone screen displaying a social media feed,"A thermal imaging camera capture of a smartphone screen displaying a social media feed, with nighttime artificial lighting, overexposed highlights"
997,scene,low,jpeg,88,photojournalist shot,golden hour sunlight,,as if screenshotted from TikTok,,,,,,,a street market with vendors and shoppers,"A photojournalist shot of a street market with vendors and shoppers, with golden hour sunlight, as if screenshotted from TikTok"
998,nature,high,jpeg,71,low quality compressed webcam image,very low ambient light,heavy noise or grain,,,,,,,,a smartphone screen displaying a social media feed,"A low quality compressed webcam image of a smartphone screen displaying a social media feed, with very low ambient light, heavy noise or grain"
999,face,low,jpeg,59,infrared camera image,blue hour twilight,overexposed highlights,,West African,,elderly,person,home interior,,,"A infrared camera image of a elderly West African person in home interior, with blue hour twilight, overexposed highlights"
1000,nature,high,webp,70,HDR photo with tone-mapped highlights,mixed indoor-outdoor lighting,heavy JPEG compression artifacts,as if shared on WhatsApp with compression,,,,,,,a modern glass skyscraper reflecting clouds,"A HDR photo with tone-mapped highlights of a modern glass skyscraper reflecting clouds, with mixed indoor-outdoor lighting, heavy JPEG compression artifacts, as if shared on WhatsApp with compression"
1001,nature,medium,webp,53,doorbell camera capture,nighttime artificial lighting,,as if shared on Twitter with reduced resolution,,,,,,,a cat sleeping on a windowsill,"A doorbell camera capture of a cat sleeping on a windowsill, with nighttime artificial lighting, as if shared on Twitter with reduced resolution"
1002,face,medium,jpeg,72,medium format film photo,flat overcast daylight,,as if shared on Twitter with reduced resolution,Southeast Asian,,elderly,woman,outdoor park,multiple faces overlapping,,"A medium format film photo of a elderly Southeast Asian woman in outdoor park, with flat overcast daylight, multiple faces overlapping, as if shared on Twitter with reduced resolution"
1003,face,low,jpeg,91,tablet camera photo,dappled shade under trees,digital zoom pixelation,as if forwarded on Telegram multiple times,West African,,middle-aged,person,government building,,,"A tablet camera photo of a middle-aged West African person in government building, with dappled shade under trees, digital zoom pixelation, as if forwarded on Telegram multiple times"
1004,face,low,jpeg,73,smartphone photo,very low ambient light,chromatic aberration,as if forwarded on Telegram multiple times,African American,,middle-aged,man,construction site,face reflected in mirror,,"A smartphone photo of a middle-aged African American man in construction site, with very low ambient light, chromatic aberration, face reflected in mirror, as if forwarded on Telegram multiple times"
1005,face,medium,webp,54,helmet-mounted camera capture,dramatic side lighting,,,Southern European,medium skin,elderly,person,conference stage,extreme close-up,,"A helmet-mounted camera capture of a elderly Southern European person with medium skin in conference stage, with dramatic side lighting, extreme close-up"
1006,nature,medium,webp,71,candid photo taken from a distance,harsh overhead fluorescent lighting,chromatic aberration,,,,,,,,an old European cathedral exterior,"A candid photo taken from a distance of an old European cathedral exterior, with harsh overhead fluorescent lighting, chromatic aberration"
1007,face,medium,jpeg,58,doorbell camera capture,dramatic side lighting,inconsistent shadows,,West African,medium skin,middle-aged,man,plain studio background,face reflected in mirror,,"A doorbell camera capture of a middle-aged West African man with medium skin in plain studio background, with dramatic side lighting, inconsistent shadows, face reflected in mirror"
1008,scene,high,webp,74,drone aerial photo,dramatic side lighting,digital zoom pixelation,,,,,,,,a gym with people exercising,"A drone aerial photo of a gym with people exercising, with dramatic side lighting, digital zoom pixelation"
1009,scene,low,jpeg,87,mirrorless camera photo,screen-lit in a dark room,chromatic aberration,as if saved from a YouTube video at 480p,,,,,,,a press conference with reporters,"A mirrorless camera photo of a press conference with reporters, with screen-lit in a dark room, chromatic aberration, as if saved from a YouTube video at 480p"
1010,scene,low,webp,86,ATM security camera image,very low ambient light,color banding,as if shared on WhatsApp with compression,,,,,,,a protest march with crowds,"A ATM security camera image of a protest march with crowds, with very low ambient light, color banding, as if shared on WhatsApp with compression"
1011,nature,low,webp,50,screen recording or screenshot,harsh overhead fluorescent lighting,lens distortion,as if saved from a YouTube video at 480p,,,,,,,a close-up of a handwritten letter on aged paper,"A screen recording or screenshot of a close-up of a handwritten letter on aged paper, with harsh overhead fluorescent lighting, lens distortion, as if saved from a YouTube video at 480p"
1012,nature,high,webp,59,candid photo taken from a distance,golden hour sunlight,chromatic aberration,as if downloaded from Instagram,,,,,,,a stack of old photographs,"A candid photo taken from a distance of a stack of old photographs, with golden hour sunlight, chromatic aberration, as if downloaded from Instagram"
1013,face,high,jpeg,68,smartphone photo,backlit with rim lighting,color banding,,Northern European,,middle-aged,woman,rooftop with skyline,,,"A smartphone photo of a middle-aged Northern European woman in rooftop with skyline, with backlit with rim lighting, color banding"
1014,face,medium,png,100,scanned printed photograph,backlit with rim lighting,chromatic aberration,,Northern European,dark brown skin,young,person,bathroom mirror,,,"A scanned printed photograph of a young Northern European person with dark brown skin in bathroom mirror, with backlit with rim lighting, chromatic aberration"
1015,face,medium,webp,70,body camera footage,neon lighting,digital zoom pixelation,,Southeast Asian,,elderly,man,inside a vehicle,,,"A body camera footage of a elderly Southeast Asian man in inside a vehicle, with neon lighting, digital zoom pixelation"
1016,face,medium,png,100,panoramic photo,dappled shade under trees,inconsistent shadows,,Indigenous,,middle-aged,person,rooftop with skyline,face through glass,,"A panoramic photo of a middle-aged Indigenous person in rooftop with skyline, with dappled shade under trees, inconsistent shadows, face through glass"
1017,nature,high,jpeg,99,candid photo taken from a distance,golden hour sunlight,,as if saved from a YouTube video at 480p,,,,,,,a city skyline at night,"A candid photo taken from a distance of a city skyline at night, with golden hour sunlight, as if saved from a YouTube video at 480p"
1018,face,medium,webp,93,passport photo or ID headshot,dramatic side lighting,heavy noise or grain,,Northern European,,young,person,home interior,,,"A passport photo or ID headshot of a young Northern European person in home interior, with dramatic side lighting, heavy noise or grain"
1019,face,medium,webp,52,panoramic photo,blue hour twilight,chromatic aberration,,Eastern European,dark brown skin,middle-aged,person,dimly lit room,multiple faces overlapping,,"A panoramic photo of a middle-aged Eastern European person with dark brown skin in dimly lit room, with blue hour twilight, chromatic aberration, multiple faces overlapping"
1020,face,low,jpeg,85,body camera footage,backlit with rim lighting,chromatic aberration,as if shared on WhatsApp with compression,Southern European,,elderly,person,conference stage,extreme close-up,,"A body camera footage of a elderly Southern European person in conference stage, with backlit with rim lighting, chromatic aberration, extreme close-up, as if shared on WhatsApp with compression"
1021,nature,medium,png,100,infrared camera image,screen-lit in a dark room,inconsistent shadows,,,,,,,,a mountain range at sunset,"A infrared camera image of a mountain range at sunset, with screen-lit in a dark room, inconsistent shadows"
1022,scene,low,jpeg,94,infrared camera image,tungsten indoor lighting with warm cast,,as if shared on WhatsApp with compression,,,,,,,an outdoor cafe with patrons,"A infrared camera image of an outdoor cafe with patrons, with tungsten indoor lighting with warm cast, as if shared on WhatsApp with compression"
1023,scene,low,webp,52,helmet-mounted camera capture,nighttime artificial lighting,heavy noise or grain,as if saved from a YouTube video at 480p,,,,,,,a family gathering around a table,"A helmet-mounted camera capture of a family gathering around a table, with nighttime artificial lighting, heavy noise or grain, as if saved from a YouTube video at 480p"
1024,scene,high,webp,75,ATM security camera image,blue hour twilight,chromatic aberration,,,,,,,,children playing in a schoolyard,"A ATM security camera image of children playing in a schoolyard, with blue hour twilight, chromatic aberration"
1025,nature,low,webp,76,mirrorless camera photo,soft natural daylight,lens distortion,as if forwarded on Telegram multiple times,,,,,,,a volcanic landscape with steam vents,"A mirrorless camera photo of a volcanic landscape with steam vents, with soft natural daylight, lens distortion, as if forwarded on Telegram multiple times"
1026,face,low,png,100,doorbell camera capture,neon lighting,inconsistent shadows,as if saved from a YouTube video at 480p,West African,,young,woman,bathroom mirror,,,"A doorbell camera capture of a young West African woman in bathroom mirror, with neon lighting, inconsistent shadows, as if saved from a YouTube video at 480p"
1027,scene,medium,png,100,medium format film photo,direct flash,chromatic aberration,as if downloaded from Instagram,,,,,,,a courtroom during a hearing,"A medium format film photo of a courtroom during a hearing, with direct flash, chromatic aberration, as if downloaded from Instagram"
1028,nature,medium,jpeg,81,screen recording or screenshot,candlelight,overexposed highlights,,,,,,,,a coral reef seen from below the water surface,"A screen recording or screenshot of a coral reef seen from below the water surface, with candlelight, overexposed highlights"
